Utbildningsområde,Utbildningsnamn,Län,Kommun,Antal kommuner,Flera kommuner,YH-poäng,Utbildningsanordnare,Ansökningsomgång,Diarienummer
"Ekonomi, administration och försäljning",Lönekonsult,Skåne,Helsingborg,1,False,325,Competensum Skåne Nordväst AB,2020,MYH 2020/4988
"Ekonomi, administration och försäljning",Lönespecialist,Jämtland,Östersund,1,False,300,Iterum Education AB,2020,MYH 2020/5471
"Ekonomi, administration och försäljning",Lönespecialist,Västra Götaland,Göteborg,1,False,300,Iterum Education AB,2020,MYH 2020/5469
"Ekonomi, administration och försäljning",Lönespecialist ,Östergötland,Linköping,1,False,300,TUC Sweden AB - Yrkeshögskola,2020,MYH 2020/4615
"Ekonomi, administration och försäljning",Marketing Automation,Stockholm,Stockholm,1,False,400,Medieinstitutet i Sverige AB,2020,MYH 2020/5681
"Ekonomi, administration och försäljning",Marknadskoordinator,Stockholm,Stockholm,1,False,320,Medieinstitutet i Sverige AB,2020,MYH 2020/5687
"Ekonomi, administration och försäljning",Medicinsk Sekreterare,Dalarna,Falun,1,False,400,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,2020,MYH 2020/4230
"Ekonomi, administration och försäljning",Medicinsk Sekreterare,Flera kommuner,Flera kommuner,2,True,400,Campus Nyköping,2020,MYH 2020/4215
"Ekonomi, administration och försäljning",Medicinsk Sekreterare,Skåne,Kristianstad,1,False,400,"Kristianstad kommun, Vuxenutbildningen",2020,MYH 2020/5166
"Ekonomi, administration och försäljning",Medicinsk Sekreterare,Stockholm,Stockholm,1,False,400,"Stockholms stad, Frans Schartaus Handelsinstitut",2020,MYH 2020/5719
"Ekonomi, administration och försäljning",Medicinsk Sekreterare,Västra Götaland,Göteborg,1,False,400,"Göteborgs Stad, Yrgo",2020,MYH 2020/5395
"Ekonomi, administration och försäljning",Medicinsk Sekreterare,Västra Götaland,Göteborg,1,False,400,"Göteborgs Stad, Yrgo",2020,MYH 2020/5670
"Ekonomi, administration och försäljning",Medicinsk Sekreterare,Västra Götaland,Vänersborg,1,False,400,"Kunskapsförbundet Väst, Vuxenutbildningen",2020,MYH 2020/4540
"Ekonomi, administration och försäljning",Medicinsk sekreterare/koordinator,Halland,Varberg,1,False,400,Campus Varberg/Varbergs kommun,2020,MYH 2020/5307
"Ekonomi, administration och försäljning",Medicinsk sekreterare/Vårdadministratör,Västernorrland,Sundsvall,1,False,400,"Sundsvalls kommun, Vuxenutbildningen",2020,MYH 2020/4600
"Ekonomi, administration och försäljning",Music Business Developer,Stockholm,Stockholm,1,False,380,DMG Education,2020,MYH 2020/5850
"Ekonomi, administration och försäljning",Offentlig upphandlare,Stockholm,Stockholm,1,False,400,"Stockholms stad, Frans Schartaus Handelsinstitut",2020,MYH 2020/5646
"Ekonomi, administration och försäljning",Offentlig upphandlare,Västra Götaland,Göteborg,1,False,400,"Göteborgs Stad, Yrgo",2020,MYH 2020/5655
"Ekonomi, administration och försäljning",Offentlig upphandlare/inköpare,Jönköping,Jönköping,1,False,425,TUC Sweden AB - Yrkeshögskola,2020,MYH 2020/4976
"Ekonomi, administration och försäljning",Onlinemarknadsförare,Skåne,Malmö,1,False,320,Medieinstitutet i Sverige AB,2020,MYH 2020/5696
