Utbildningsområde,Utbildningsnamn,Län,Kommun,Antal kommuner,Flera kommuner,YH-poäng,Studieform,Studietakt %,Utbildningsanordnare,Huvudmannatyp,Sökta utbildningsomgångar,Beviljade utbildningsomgångar,Sökta platser totalt,Beviljade platser totalt,Sökta platser per utbildningsomgång,Ansökningsomgång,Diarienummer,Beslut
Data/IT,Front End Developer,Södermanland,Vingåker,5,True,400,Bunden,100,KYH AB,Privat,5,3,25,15,5,2020,MYH 2020/4521,True
Data/IT,Front End Developer Distans,Stockholm,Stockholm,1,False,400,Distans,100,Medieinstitutet i Sverige AB,Privat,3,3,105,105,35,2020,MYH 2020/5676,True
Data/IT,Front end webbutvecklare,Skåne,Malmö,1,False,400,Bunden,100,Grit Academy AB,Privat,3,3,90,90,30,2020,MYH 2020/4907,True
Data/IT,Frontend / App Developer,Stockholm,Stockholm,1,False,450,Bunden,100,Changemaker Educations AB,Privat,4,3,140,105,35,2020,MYH 2020/4827,True
Data/IT,Frontend Developer,Stockholm,Stockholm,1,False,400,Distans,100,Stiftelsen Stockholms Tekniska Institut,Privat,3,0,105,0,35,2020,MYH 2020/5044,False
Data/IT,Frontend utvecklare,Uppsala,Uppsala,1,False,230,Distans,100,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,Privat,5,0,175,0,35,2020,MYH 2020/5508,False
Data/IT,Front-End utvecklare,Värmland,Sunne,1,False,410,Distans,100,Sunne kommun/Broby Grafiska,Kommun,5,0,150,0,30,2020,MYH 2020/4730,False
Data/IT,Frontendutvecklare,Dalarna,Borlänge,1,False,400,Bunden,100,EC Utbildning AB Örebro,Privat,3,0,105,0,35,2020,MYH 2020/4651,False
Data/IT,Frontendutvecklare,Värmland,Karlstad,1,False,400,Bunden,100,EC Utbildning AB Örebro,Privat,3,0,105,0,35,2020,MYH 2020/4649,False
Data/IT,Frontendutvecklare,Värmland,Karlstad,1,False,400,Bunden,100,Folkuniversitetet Kursverksamheten vid Göteborgs universitet,Privat,5,3,100,60,20,2020,MYH 2020/5048,True
Data/IT,Frontendutvecklare,Västra Götaland,Göteborg,1,False,400,Bunden,100,EC Utbildning AB Göteborg,Privat,3,0,105,0,35,2020,MYH 2020/4647,False
Data/IT,Frontend-utvecklare,Kronoberg,Ljungby,2,True,400,Distans,100,TUC Sweden AB - Yrkeshögskola,Privat,5,0,25,0,5,2020,MYH 2020/4950,False
Data/IT,Frontend-utvecklare,Kronoberg,Växjö,2,True,400,Bunden,100,EC Utbildning AB Växjö,Privat,5,0,85,0,17,2020,MYH 2020/5869,False
Data/IT,Frontend-utvecklare,Kronoberg,Älmhult,2,True,400,Bunden,100,EC Utbildning AB Växjö,Privat,5,0,90,0,18,2020,MYH 2020/5869,False
Data/IT,Frontend-utvecklare,Stockholm,Solna,1,False,400,Bunden,100,EC Utbildning AB Stockholm,Privat,3,0,105,0,35,2020,MYH 2020/4981,False
