Diarienummer,Beslut,Kommun,Län
MYH 2024/1195,True,Stockholm,Stockholm
MYH 2024/1196,True,Umeå,Västerbotten
MYH 2024/1197,False,Stockholm,Stockholm
MYH 2024/1198,True,Falun,Dalarna
MYH 2024/1198,True,Göteborg,Västra Götaland
MYH 2024/1199,False,Globen,Stockholm
MYH 2024/1200,False,Stockholm,Stockholm
MYH 2024/1201,False,Luleå,Norrbotten
MYH 2024/1201,False,Gällivare,Norrbotten
MYH 2024/1201,False,Norrköping,Östergötland
MYH 2024/1202,True,Jönköping,Jönköping
MYH 2024/1202,True,Stockholm,Stockholm
MYH 2024/1203,True,Kristianstad,Skåne
MYH 2024/1204,True,Umeå,Västerbotten
MYH 2024/1205,True,Helsingborg,Skåne
MYH 2024/1205,True,Linköping,Östergötland
MYH 2024/1205,True,Skellefteå,Västerbotten
MYH 2024/1205,True,Jönköping,Jönköping
MYH 2024/1205,True,Stockholm,Stockholm
MYH 2024/1206,False,Örnsköldsvik,Västernorrland
MYH 2024/1207,True,Stockholm,Stockholm
MYH 2024/1207,True,Umeå,Västerbotten
MYH 2024/1207,True,Göteborg,Västra Götaland
MYH 2024/1208,True,Trollhättan,Västra Götaland
MYH 2024/1209,False,Vänersborg,Västra Götaland
MYH 2024/1210,True,Uppsala,Uppsala
MYH 2024/1211,False,Göteborg,Västra Götaland
MYH 2024/1213,False,Skellefteå,Västerbotten
MYH 2024/1213,False,Stockholm,Stockholm
MYH 2024/1213,False,Helsingborg,Skåne
MYH 2024/1213,False,Jönköping,Jönköping
MYH 2024/1213,False,Linköping,Östergötland
MYH 2024/1214,False,Uppsala,Uppsala
MYH 2024/1215,True,Stockholm,Stockholm
MYH 2024/1216,False,Knivsta,Uppsala
MYH 2024/1217,True,Örebro,Örebro
MYH 2024/1217,True,Helsingborg,Skåne
MYH 2024/1218,True,Umeå,Västerbotten
MYH 2024/1219,True,Stockholm,Stockholm
MYH 2024/1220,True,Båstad,Skåne
MYH 2024/1221,False,Trollhättan,Västra Götaland
MYH 2024/1222,True,Umeå,Västerbotten
MYH 2024/1223,True,Uppsala,Uppsala
MYH 2024/1224,False,Göteborg,Västra Götaland
MYH 2024/1225,False,Oskarshamn,Kalmar
MYH 2024/1226,True,Västerås,Västmanland
MYH 2024/1227,True,Solna,Stockholm
MYH 2024/1228,False,Rydebäck,Skåne
MYH 2024/1230,True,Örnsköldsvik,Västernorrland
MYH 2024/1232,True,Trollhättan,Västra Götaland
MYH 2024/1233,True,Västerås,Västmanland
MYH 2024/1234,False,Luleå,Norrbotten
MYH 2024/1235,True,Stockholm,Stockholm
MYH 2024/1236,False,Luleå,Norrbotten
MYH 2024/1237,False,Luleå,Norrbotten
MYH 2024/1238,True,Tranås,Jönköping
MYH 2024/1238,True,Jönköping,Jönköping
MYH 2024/1238,True,Skellefteå,Västerbotten
MYH 2024/1238,True,Helsingborg,Skåne
MYH 2024/1238,True,Stockholm,Stockholm
MYH 2024/1239,False,Nyköping,Södermanland
MYH 2024/1240,True,Sundsvall,Västernorrland
MYH 2024/1240,True,Luleå,Norrbotten
MYH 2024/1240,True,Södertälje,Stockholm
MYH 2024/1241,True,Piteå,Norrbotten
MYH 2024/1241,True,Göteborg,Västra Götaland
MYH 2024/1242,False,Gislaved,Jönköping
MYH 2024/1243,False,Jönköping,Jönköping
MYH 2024/1243,False,Stockholm,Stockholm
MYH 2024/1243,False,Skellefteå,Västerbotten
MYH 2024/1243,False,Linköping,Östergötland
MYH 2024/1243,False,Helsingborg,Skåne
MYH 2024/1244,False,Gislaved,Jönköping
MYH 2024/1245,False,Malmö,Skåne
MYH 2024/1245,False,Stockholm,Stockholm
MYH 2024/1246,False,Gislaved,Jönköping
MYH 2024/1247,False,Göteborg,Västra Götaland
MYH 2024/1247,False,Botkyrka,Stockholm
MYH 2024/1248,True,Tumba,Stockholm
MYH 2024/1249,False,Tumba,Stockholm
MYH 2024/1250,False,Tumba,Stockholm
MYH 2024/1251,False,Lund,Skåne
MYH 2024/1252,True,Nyköping,Södermanland
MYH 2024/1253,True,Mölndal,Västra Götaland
MYH 2024/1254,False,Göteborg,Västra Götaland
MYH 2024/1256,False,Falun,Dalarna
MYH 2024/1257,False,Stockholm,Stockholm
MYH 2024/1258,False,Stockholm,Stockholm
MYH 2024/1259,False,Stockholm,Stockholm
MYH 2024/1260,False,Stockholm,Stockholm
MYH 2024/1261,False,Stockholm,Stockholm
MYH 2024/1262,True,Skellefteå,Västerbotten
MYH 2024/1263,False,Uddevalla,Västra Götaland
MYH 2024/1264,False,Härnösand,Västernorrland
MYH 2024/1265,False,Malmö,Skåne
MYH 2024/1265,False,Göteborg,Västra Götaland
MYH 2024/1265,False,Stockholm,Stockholm
MYH 2024/1265,False,Luleå,Norrbotten
MYH 2024/1266,False,Stockholm,Stockholm
MYH 2024/1266,False,Luleå,Norrbotten
MYH 2024/1266,False,Malmö,Skåne
MYH 2024/1266,False,Göteborg,Västra Götaland
MYH 2024/1267,False,Malmö,Skåne
MYH 2024/1267,False,Luleå,Norrbotten
MYH 2024/1267,False,Göteborg,Västra Götaland
MYH 2024/1267,False,Stockholm,Stockholm
MYH 2024/1268,True,Linköping,Östergötland
MYH 2024/1268,True,Tranås,Jönköping
MYH 2024/1268,True,Jönköping,Jönköping
MYH 2024/1268,True,Stockholm,Stockholm
MYH 2024/1268,True,Helsingborg,Skåne
MYH 2024/1269,True,Skellefteå,Västerbotten
MYH 2024/1269,True,Stockholm,Stockholm
MYH 2024/1269,True,Jönköping,Jönköping
MYH 2024/1269,True,Linköping,Östergötland
MYH 2024/1269,True,Helsingborg,Skåne
MYH 2024/1270,False,Linköping,Östergötland
MYH 2024/1270,False,Jönköping,Jönköping
MYH 2024/1270,False,Skellefteå,Västerbotten
MYH 2024/1270,False,Helsingborg,Skåne
MYH 2024/1270,False,Stockholm,Stockholm
MYH 2024/1271,True,Göteborg,Västra Götaland
MYH 2024/1272,True,Västerås,Västmanland
MYH 2024/1274,False,Västerås,Västmanland
MYH 2024/1276,True,Linköping,Östergötland
MYH 2024/1277,False,Linköping,Östergötland
MYH 2024/1279,True,Enköping,Uppsala
MYH 2024/1280,False,Linköping,Östergötland
MYH 2024/1281,True,Göteborg,Västra Götaland
MYH 2024/1281,True,Alingsås,Västra Götaland
MYH 2024/1282,False,Linköping,Östergötland
MYH 2024/1283,True,Västerås,Västmanland
MYH 2024/1284,True,Linköping,Östergötland
MYH 2024/1285,False,Linköping,Östergötland
MYH 2024/1286,True,Stockholm,Stockholm
MYH 2024/1287,True,Göteborg,Västra Götaland
MYH 2024/1288,True,Karlskoga,Örebro
MYH 2024/1289,False,Göteborg,Västra Götaland
MYH 2024/1290,False,Trelleborg,Skåne
MYH 2024/1291,True,Stockholm,Stockholm
MYH 2024/1292,True,Stockholm,Stockholm
MYH 2024/1294,True,Karlskoga,Örebro
MYH 2024/1295,True,Helsingborg,Skåne
MYH 2024/1295,True,Skellefteå,Västerbotten
MYH 2024/1295,True,Jönköping,Jönköping
MYH 2024/1295,True,Linköping,Östergötland
MYH 2024/1295,True,Stockholm,Stockholm
MYH 2024/1296,True,Stockholm,Stockholm
MYH 2024/1297,True,Malmö,Skåne
MYH 2024/1297,True,Stockholm,Stockholm
MYH 2024/1298,True,Stockholm,Stockholm
MYH 2024/1299,True,Malmö,Skåne
MYH 2024/1300,False,Malmö,Skåne
MYH 2024/1301,True,Malmö,Skåne
MYH 2024/1302,False,Malmö,Skåne
MYH 2024/1302,False,Stockholm,Stockholm
MYH 2024/1303,True,Göteborg,Västra Götaland
MYH 2024/1304,True,Malmö,Skåne
MYH 2024/1304,True,Stockholm,Stockholm
MYH 2024/1305,False,Malmö,Skåne
MYH 2024/1305,False,Stockholm,Stockholm
MYH 2024/1306,True,Malmö,Skåne
MYH 2024/1307,True,Västerås,Västmanland
MYH 2024/1308,True,Stockholm,Stockholm
MYH 2024/1308,True,Malmö,Skåne
MYH 2024/1308,True,Luleå,Norrbotten
MYH 2024/1309,True,Stockholm,Stockholm
MYH 2024/1310,False,Stockholm,Stockholm
MYH 2024/1311,False,Vänersborg,Västra Götaland
MYH 2024/1312,False,Malmö,Skåne
MYH 2024/1313,True,Stockholm,Stockholm
MYH 2024/1314,False,Göteborg,Västra Götaland
MYH 2024/1315,True,Stockholm,Stockholm
MYH 2024/1316,True,Uppsala,Uppsala
MYH 2024/1316,True,Enköping,Uppsala
MYH 2024/1317,True,Malmö,Skåne
MYH 2024/1318,True,Stockholm,Stockholm
MYH 2024/1319,True,Västerås,Västmanland
MYH 2024/1320,False,Göteborg,Västra Götaland
MYH 2024/1321,False,Göteborg,Västra Götaland
MYH 2024/1322,True,Stockholm,Stockholm
MYH 2024/1323,True,Karlskoga,Örebro
MYH 2024/1324,False,Karlskoga,Örebro
MYH 2024/1327,True,Stockholm,Stockholm
MYH 2024/1328,False,Göteborg,Västra Götaland
MYH 2024/1329,True,Stockholm,Stockholm
MYH 2024/1330,False,Trelleborg,Skåne
MYH 2024/1331,False,Göteborg,Västra Götaland
MYH 2024/1332,False,Trelleborg,Skåne
MYH 2024/1333,True,Båstad,Skåne
MYH 2024/1334,False,Göteborg,Västra Götaland
MYH 2024/1336,True,Västerås,Västmanland
MYH 2024/1337,False,Västerås,Västmanland
MYH 2024/1338,True,Vänersborg,Västra Götaland
MYH 2024/1340,False,Botkyrka,Stockholm
MYH 2024/1341,False,Mölndal,Västra Götaland
MYH 2024/1342,True,Uppsala,Uppsala
MYH 2024/1343,False,Göteborg,Västra Götaland
MYH 2024/1344,False,Stockholm,Stockholm
MYH 2024/1345,True,Gnosjö,Jönköping
MYH 2024/1345,True,Göteborg,Västra Götaland
MYH 2024/1347,True,Göteborg,Västra Götaland
MYH 2024/1348,True,Göteborg,Västra Götaland
MYH 2024/1349,True,Stockholm,Stockholm
MYH 2024/1350,True,Uppsala,Uppsala
MYH 2024/1351,True,Malmö,Skåne
MYH 2024/1352,True,Malmö,Skåne
MYH 2024/1353,True,Stockholm,Stockholm
MYH 2024/1354,True,Stockholm,Stockholm
MYH 2024/1355,False,Mölndal,Västra Götaland
MYH 2024/1356,True,Stockholm,Stockholm
MYH 2024/1357,True,Luleå,Norrbotten
MYH 2024/1357,True,Malmö,Skåne
MYH 2024/1357,True,Stockholm,Stockholm
MYH 2024/1358,True,Stockholm,Stockholm
MYH 2024/1359,False,Karlskoga,Örebro
MYH 2024/1360,True,Göteborg,Västra Götaland
