Diarienummer,Kommun,Län,Beslut
MYH 2020/4532,Göteborg,Västra Götaland,True
MYH 2020/4533,Malmö,Skåne,False
MYH 2020/4534,Stockholm,Stockholm,True
MYH 2020/4536,Karlstad,Värmland,False
MYH 2020/4536,Mariestad,Västra Götaland,False
MYH 2020/4537,Västerås,Västmanland,True
MYH 2020/4540,Vänersborg,Västra Götaland,True
MYH 2020/4541,Lidköping,Västra Götaland,False
MYH 2020/4541,Vänersborg,Västra Götaland,False
MYH 2020/4542,Nyköping,Södermanland,False
MYH 2020/4543,Nyköping,Södermanland,False
MYH 2020/4551,Stockholm,Stockholm,False
MYH 2020/4551,Norrtälje,Stockholm,False
MYH 2020/4552,Helsingborg,Skåne,False
MYH 2020/4557,Göteborg,Västra Götaland,False
MYH 2020/4560,Lidköping,Västra Götaland,True
MYH 2020/4560,Uddevalla,Västra Götaland,True
MYH 2020/4561,Sundsvall,Västernorrland,False
MYH 2020/4562,Göteborg,Västra Götaland,True
MYH 2020/4563,Karlskrona,Blekinge,True
MYH 2020/4564,Växjö,Kronoberg,True
MYH 2020/4565,Karlskrona,Blekinge,True
MYH 2020/4566,Karlskrona,Blekinge,True
MYH 2020/4567,Västerås,Västmanland,False
MYH 2020/4568,Stockholm,Stockholm,True
MYH 2020/4569,Nacka,Stockholm,False
MYH 2020/4570,Lysekil,Västra Götaland,False
MYH 2020/4570,Sotenäs,Västra Götaland,False
MYH 2020/4571,Växjö,Kronoberg,False
MYH 2020/4571,Norrtälje,Stockholm,False
MYH 2020/4571,Eskilstuna,Södermanland,False
MYH 2020/4571,Arvika,Värmland,False
MYH 2020/4572,Växjö,Kronoberg,True
MYH 2020/4573,Gotland,Gotland,False
MYH 2020/4574,Stockholm,Stockholm,False
MYH 2020/4575,Stockholm,Stockholm,True
MYH 2020/4578,Göteborg,Västra Götaland,True
MYH 2020/4579,Trelleborg,Skåne,False
MYH 2020/4582,Malmö,Skåne,True
MYH 2020/4585,Östersund,Jämtland,False
MYH 2020/4586,Gävle,Gävleborg,False
MYH 2020/4590,Borås,Västra Götaland,True
MYH 2020/4590,Lidköping,Västra Götaland,True
MYH 2020/4590,Uddevalla,Västra Götaland,True
MYH 2020/4591,Uddevalla,Västra Götaland,False
MYH 2020/4591,Lidköping,Västra Götaland,False
MYH 2020/4591,Varberg,Halland,False
MYH 2020/4593,Malmö,Skåne,True
MYH 2020/4594,Växjö,Kronoberg,True
MYH 2020/4595,Stockholm,Stockholm,True
MYH 2020/4596,Linköping,Östergötland,False
MYH 2020/4597,Stockholm,Stockholm,True
MYH 2020/4600,Sundsvall,Västernorrland,True
MYH 2020/4601,Göteborg,Västra Götaland,False
MYH 2020/4601,Malmö,Skåne,False
MYH 2020/4602,Malmö,Skåne,True
MYH 2020/4603,Stockholm,Stockholm,False
MYH 2020/4603,Göteborg,Västra Götaland,False
MYH 2020/4604,Lund,Skåne,False
MYH 2020/4605,Båstad,Skåne,False
MYH 2020/4606,Stockholm,Stockholm,True
MYH 2020/4608,Linköping,Östergötland,False
MYH 2020/4609,Malmö,Skåne,False
MYH 2020/4609,Göteborg,Västra Götaland,False
MYH 2020/4610,Jönköping,Jönköping,True
MYH 2020/4610,Ronneby,Blekinge,True
MYH 2020/4610,Ljungby,Kronoberg,True
MYH 2020/4611,Simrishamn,Skåne,False
MYH 2020/4612,Linköping,Östergötland,True
MYH 2020/4613,Simrishamn,Skåne,True
MYH 2020/4614,Lidköping,Västra Götaland,True
MYH 2020/4615,Linköping,Östergötland,True
MYH 2020/4616,Uddevalla,Västra Götaland,False
MYH 2020/4617,Kalmar,Kalmar,False
MYH 2020/4617,Vimmerby,Kalmar,False
MYH 2020/4618,Simrishamn,Skåne,False
MYH 2020/4618,Trelleborg,Skåne,False
MYH 2020/4619,Gävle,Gävleborg,False
MYH 2020/4620,Trelleborg,Skåne,False
MYH 2020/4620,Simrishamn,Skåne,False
MYH 2020/4626,Stockholm,Stockholm,False
MYH 2020/4627,Göteborg,Västra Götaland,False
MYH 2020/4628,Malmö,Skåne,False
MYH 2020/4629,Umeå,Västerbotten,False
MYH 2020/4630,Stockholm,Stockholm,False
MYH 2020/4631,Göteborg,Västra Götaland,False
MYH 2020/4632,Malmö,Skåne,False
MYH 2020/4633,Umeå,Västerbotten,False
MYH 2020/4634,Stockholm,Stockholm,False
MYH 2020/4635,Göteborg,Västra Götaland,False
MYH 2020/4636,Malmö,Skåne,False
MYH 2020/4637,Umeå,Västerbotten,False
MYH 2020/4638,Stockholm,Stockholm,False
MYH 2020/4639,Göteborg,Västra Götaland,False
MYH 2020/4640,Malmö,Skåne,False
MYH 2020/4641,Umeå,Västerbotten,False
MYH 2020/4642,Stockholm,Stockholm,False
MYH 2020/4643,Göteborg,Västra Götaland,False
MYH 2020/4644,Malmö,Skåne,False
MYH 2020/4645,Umeå,Västerbotten,False
MYH 2020/4647,Göteborg,Västra Götaland,False
MYH 2020/4648,Hudiksvall,Gävleborg,True
MYH 2020/4649,Karlstad,Värmland,False
MYH 2020/4650,Växjö,Kronoberg,False
MYH 2020/4651,Borlänge,Dalarna,False
MYH 2020/4652,Båstad,Skåne,False
MYH 2020/4654,Göteborg,Västra Götaland,False
MYH 2020/4655,Örebro,Örebro,False
MYH 2020/4656,Uddevalla,Västra Götaland,False
MYH 2020/4657,Västerås,Västmanland,False
MYH 2020/4658,Nacka,Stockholm,False
MYH 2020/4660,Karlstad,Värmland,False
MYH 2020/4662,Halmstad,Halland,False
MYH 2020/4664,Luleå,Norrbotten,True
MYH 2020/4665,Örebro,Örebro,False
MYH 2020/4666,Örebro,Örebro,False
MYH 2020/4667,Göteborg,Västra Götaland,False
MYH 2020/4668,Bollnäs,Gävleborg,False
MYH 2020/4669,Halmstad,Halland,False
MYH 2020/4670,Västerås,Västmanland,False
MYH 2020/4673,Karlstad,Värmland,False
MYH 2020/4674,Borlänge,Dalarna,False
MYH 2020/4675,Örebro,Örebro,False
MYH 2020/4676,Karlstad,Värmland,False
MYH 2020/4677,Västerås,Västmanland,False
MYH 2020/4678,Halmstad,Halland,False
MYH 2020/4679,Linköping,Östergötland,False
MYH 2020/4680,Göteborg,Västra Götaland,False
MYH 2020/4681,Västerås,Västmanland,False
MYH 2020/4682,Västerås,Västmanland,False
MYH 2020/4683,Köping,Västmanland,True
MYH 2020/4683,Arvika,Värmland,True
MYH 2020/4683,Eskilstuna,Södermanland,True
MYH 2020/4683,Fagersta,Västmanland,True
MYH 2020/4684,Jönköping,Jönköping,False
MYH 2020/4685,Jönköping,Jönköping,False
MYH 2020/4686,Nacka,Stockholm,True
MYH 2020/4686,Göteborg,Västra Götaland,True
MYH 2020/4688,Säter,Dalarna,True
MYH 2020/4689,Kungsbacka,Halland,False
MYH 2020/4690,Malmö,Skåne,False
MYH 2020/4691,Malmö,Skåne,False
MYH 2020/4692,Kristinehamn,Värmland,True
MYH 2020/4696,Stockholm,Stockholm,False
MYH 2020/4698,Västerås,Västmanland,False
MYH 2020/4700,Hallstahammar,Västmanland,False
MYH 2020/4701,Nyköping,Södermanland,False
MYH 2020/4702,Helsingborg,Skåne,False
MYH 2020/4703,Falun,Dalarna,False
MYH 2020/4703,Karlstad,Värmland,False
MYH 2020/4704,Norrköping,Östergötland,False
MYH 2020/4705,Stockholm,Stockholm,False
MYH 2020/4707,Solna,Stockholm,True
MYH 2020/4708,Borlänge,Dalarna,False
MYH 2020/4708,Avesta,Dalarna,False
MYH 2020/4709,Stockholm,Stockholm,False
MYH 2020/4710,Norrköping,Östergötland,True
MYH 2020/4711,Stockholm,Stockholm,True
MYH 2020/4713,Surahammar,Västmanland,True
MYH 2020/4714,Örnsköldsvik,Västernorrland,True
MYH 2020/4714,Sundsvall,Västernorrland,True
MYH 2020/4715,Stockholm,Stockholm,False
MYH 2020/4716,Stockholm,Stockholm,True
MYH 2020/4718,Stockholm,Stockholm,False
MYH 2020/4719,Örnsköldsvik,Västernorrland,True
MYH 2020/4721,Ånge,Västernorrland,False
MYH 2020/4722,Stockholm,Stockholm,True
MYH 2020/4723,Sundsvall,Västernorrland,False
MYH 2020/4724,Stockholm,Stockholm,True
MYH 2020/4725,Stockholm,Stockholm,True
MYH 2020/4726,Tranås,Jönköping,False
MYH 2020/4727,Sundsvall,Västernorrland,False
MYH 2020/4729,Norrköping,Östergötland,False
MYH 2020/4730,Sunne,Värmland,False
MYH 2020/4731,Sunne,Värmland,False
MYH 2020/4732,Stockholm,Stockholm,False
MYH 2020/4733,Sunne,Värmland,False
MYH 2020/4734,Stockholm,Stockholm,False
MYH 2020/4735,Sunne,Värmland,False
MYH 2020/4736,Norrköping,Östergötland,False
MYH 2020/4737,Stockholm,Stockholm,False
MYH 2020/4738,Växjö,Kronoberg,False
MYH 2020/4739,Växjö,Kronoberg,False
MYH 2020/4740,Malmö,Skåne,False
MYH 2020/4742,Växjö,Kronoberg,False
MYH 2020/4743,Olofström,Blekinge,True
MYH 2020/4744,Malmö,Skåne,False
MYH 2020/4745,Malmö,Skåne,True
MYH 2020/4746,Malmö,Skåne,False
MYH 2020/4747,Nyköping,Södermanland,True
MYH 2020/4748,Ängelholm,Skåne,True
MYH 2020/4749,Sunne,Värmland,False
MYH 2020/4750,Örebro,Örebro,False
MYH 2020/4751,Ängelholm,Skåne,True
MYH 2020/4752,Nyköping,Södermanland,True
MYH 2020/4753,Karlstad,Värmland,False
MYH 2020/4755,Sunne,Värmland,True
MYH 2020/4756,Sunne,Värmland,False
MYH 2020/4758,Stockholm,Stockholm,False
MYH 2020/4760,Sunne,Värmland,False
MYH 2020/4763,Sunne,Värmland,False
MYH 2020/4765,Sunne,Värmland,False
MYH 2020/4766,Göteborg,Västra Götaland,False
MYH 2020/4767,Linköping,Östergötland,False
MYH 2020/4768,Umeå,Västerbotten,False
MYH 2020/4769,Norrköping,Östergötland,False
MYH 2020/4770,Sunne,Värmland,False
MYH 2020/4771,Norrköping,Östergötland,False
MYH 2020/4772,Sollentuna,Stockholm,True
MYH 2020/4773,Skövde,Västra Götaland,True
MYH 2020/4773,Lidköping,Västra Götaland,True
