,Utbildningsområde,Utbildningsnamn,Län,Kommun,Flera kommuner,YH-poäng,Studieform,Studietakt %,Utbildningsanordnare administrativ enhet,Huvudmannatyp,Sökta platser per utbildningsomgång,Sökta platser totalt,Beviljade platser totalt,Diarienummer,Beslut,Sökta utbildningsomgångar,Beviljade utbildningsomgångar,Ansökningsomgång,Antal kommuner
109,Data/IT,DevOps Engineer,Västra Götaland,Göteborg,False,400,Bunden,100,JENSEN Education School AB,Privat,35,105,0,MYH 2020/5727,False,3,0,2020,1
110,Data/IT,DevOps Utvecklare,Skåne,Malmö,False,420,Bunden,100,EC Utbildning AB Malmö,Privat,32,96,0,MYH 2020/5298,False,3,0,2020,1
111,Data/IT,Devops-utvecklare,Stockholm,Stockholm,False,400,Bunden,100,IT-Högskolan Stockholm AB,Privat,30,90,0,MYH 2020/5888,False,3,0,2020,1
112,Data/IT,Devops-utvecklare,Västra Götaland,Göteborg,False,400,Bunden,100,IT-Högskolan Sverige AB,Privat,30,90,0,MYH 2020/5889,False,3,0,2020,1
113,Data/IT,Digital Learning Developer,Stockholm,Stockholm,False,400,Bunden,100,Workler AB,Privat,32,160,0,MYH 2020/5879,False,5,0,2020,1
114,Data/IT,Digital Transformation Manager ,Stockholm,Stockholm,False,150,Distans,75,Plushögskolan AB - Affärshögskolan,Privat,35,105,0,MYH 2020/4792,False,3,0,2020,1
115,Data/IT,Digital turism,Skåne,Malmö,False,110,Distans,50,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Privat,35,105,0,MYH 2020/4902,False,3,0,2020,1
116,Data/IT,Digitaliseringsledare,Stockholm,Stockholm,False,100,Distans,100,IDG International Data Group AB,Privat,35,70,0,MYH 2020/5815,False,2,0,2020,1
117,Data/IT,Digitaliseringsledare (halvfart),Stockholm,Stockholm,False,100,Distans,50,IDG International Data Group AB,Privat,35,70,0,MYH 2020/5860,False,2,0,2020,1
118,Data/IT,E-handelsutvecklare,Stockholm,Stockholm,False,400,Bunden,100,IT-Högskolan Stockholm AB,Privat,30,90,0,MYH 2020/5856,False,3,0,2020,1
119,Data/IT,E-handelsutvecklare,Västra Götaland,Göteborg,False,400,Bunden,100,IT-Högskolan Sverige AB,Privat,30,90,0,MYH 2020/5857,False,3,0,2020,1
120,Data/IT,Fintech Software Developer,Stockholm,Stockholm,False,400,Bunden,100,Hyper Island Program AB - Stockholm,Privat,35,105,0,MYH 2020/5242,False,3,0,2020,1
121,Data/IT,"Forsbergs, Spelutvecklare – Game Programming",Stockholm,Stockholm,False,550,Bunden,100,Forsbergs Skola,Privat,35,105,0,MYH 2020/5743,False,3,0,2020,1
122,Data/IT,Front End Developer,Gävleborg,Gävle,True,400,Bunden,100,KYH AB,Privat,8,40,24,MYH 2020/4521,True,5,3,2020,5
123,Data/IT,Front End Developer,Stockholm,Norrtälje,True,400,Bunden,100,KYH AB,Privat,10,50,30,MYH 2020/4521,True,5,3,2020,5
124,Data/IT,Front End Developer,Södermanland,Eskilstuna,True,400,Bunden,100,KYH AB,Privat,7,35,21,MYH 2020/4521,True,5,3,2020,5
125,Data/IT,Front End Developer,Södermanland,Katrineholm,True,400,Bunden,100,KYH AB,Privat,5,25,15,MYH 2020/4521,True,5,3,2020,5
126,Data/IT,Front End Developer,Södermanland,Vingåker,True,400,Bunden,100,KYH AB,Privat,5,25,15,MYH 2020/4521,True,5,3,2020,5
127,Data/IT,Front End Developer Distans,Stockholm,Stockholm,False,400,Distans,100,Medieinstitutet i Sverige AB,Privat,35,105,105,MYH 2020/5676,True,3,3,2020,1
128,Data/IT,Front end webbutvecklare,Skåne,Malmö,False,400,Bunden,100,Grit Academy AB,Privat,30,90,90,MYH 2020/4907,True,3,3,2020,1
129,Data/IT,Frontend / App Developer,Stockholm,Stockholm,False,450,Bunden,100,Changemaker Educations AB,Privat,35,140,105,MYH 2020/4827,True,4,3,2020,1
130,Data/IT,Frontend Developer,Stockholm,Stockholm,False,400,Distans,100,Stiftelsen Stockholms Tekniska Institut,Privat,35,105,0,MYH 2020/5044,False,3,0,2020,1
131,Data/IT,Frontend utvecklare,Uppsala,Uppsala,False,230,Distans,100,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,Privat,35,175,0,MYH 2020/5508,False,5,0,2020,1
132,Data/IT,Front-End utvecklare,Värmland,Sunne,False,410,Distans,100,Sunne kommun/Broby Grafiska,Kommun,30,150,0,MYH 2020/4730,False,5,0,2020,1
133,Data/IT,Frontendutvecklare,Dalarna,Borlänge,False,400,Bunden,100,EC Utbildning AB Örebro,Privat,35,105,0,MYH 2020/4651,False,3,0,2020,1
134,Data/IT,Frontendutvecklare,Värmland,Karlstad,False,400,Bunden,100,EC Utbildning AB Örebro,Privat,35,105,0,MYH 2020/4649,False,3,0,2020,1
135,Data/IT,Frontendutvecklare,Värmland,Karlstad,False,400,Bunden,100,Folkuniversitetet Kursverksamheten vid Göteborgs universitet,Privat,20,100,60,MYH 2020/5048,True,5,3,2020,1
136,Data/IT,Frontendutvecklare,Västra Götaland,Göteborg,False,400,Bunden,100,EC Utbildning AB Göteborg,Privat,35,105,0,MYH 2020/4647,False,3,0,2020,1
137,Data/IT,Frontend-utvecklare,Kronoberg,Ljungby,True,400,Distans,100,TUC Sweden AB - Yrkeshögskola,Privat,5,25,0,MYH 2020/4950,False,5,0,2020,2
138,Data/IT,Frontend-utvecklare,Kronoberg,Växjö,True,400,Bunden,100,EC Utbildning AB Växjö,Privat,17,85,0,MYH 2020/5869,False,5,0,2020,2
139,Data/IT,Frontend-utvecklare,Kronoberg,Älmhult,True,400,Bunden,100,EC Utbildning AB Växjö,Privat,18,90,0,MYH 2020/5869,False,5,0,2020,2
140,Data/IT,Frontend-utvecklare,Stockholm,Solna,False,400,Bunden,100,EC Utbildning AB Stockholm,Privat,35,105,0,MYH 2020/4981,False,3,0,2020,1
141,Data/IT,Frontend-utvecklare,Stockholm,Solna,False,400,Bunden,100,Nackademin AB,Privat,35,105,105,MYH 2020/5302,True,3,3,2020,1
142,Data/IT,Frontend-utvecklare,Östergötland,Linköping,True,400,Distans,100,TUC Sweden AB - Yrkeshögskola,Privat,30,150,0,MYH 2020/4950,False,5,0,2020,2
143,Data/IT,Full stack web development,Dalarna,Borlänge,True,200,Distans,100,CC Codify College AB,Privat,2,10,0,MYH 2020/4842,False,5,0,2020,10
144,Data/IT,Full stack web development,Halland,Halmstad,True,200,Distans,100,CC Codify College AB,Privat,2,10,0,MYH 2020/4842,False,5,0,2020,10
145,Data/IT,Full stack web development,Jönköping,Jönköping,True,200,Distans,100,CC Codify College AB,Privat,2,10,0,MYH 2020/4842,False,5,0,2020,10
146,Data/IT,Full stack web development,Skåne,Lund,True,200,Distans,100,CC Codify College AB,Privat,2,10,0,MYH 2020/4842,False,5,0,2020,10
147,Data/IT,Full stack web development,Skåne,Malmö,True,200,Distans,100,CC Codify College AB,Privat,2,10,0,MYH 2020/4842,False,5,0,2020,10
148,Data/IT,Full stack web development,Stockholm,Stockholm,True,200,Distans,100,CC Codify College AB,Privat,2,10,0,MYH 2020/4842,False,5,0,2020,10
149,Data/IT,Full stack web development,Uppsala,Uppsala,True,200,Distans,100,CC Codify College AB,Privat,2,10,0,MYH 2020/4842,False,5,0,2020,10
150,Data/IT,Full stack web development,Västerbotten,Umeå,True,200,Distans,100,CC Codify College AB,Privat,2,10,0,MYH 2020/4842,False,5,0,2020,10
