,Utbildningsområde,Utbildningsnamn,Län,Kommun,Flera kommuner,Antal kommuner,YH-poäng,Utbildningsanordnare administrativ enhet,Diarienummer,Ansökningsomgång
1224,Teknik och tillverkning,"Drifttekniker, Kraft & Värme / Process",Örebro,Örebro,False,1,415,AVT AB,MYH 2022/5162,2022
1225,Teknik och tillverkning,Electric Powertrain Engineering,Västra Götaland,Trollhättan,False,1,295,YrkesAkademin YH AB,MYH 2022/4364,2022
1226,Teknik och tillverkning,Electromobility Design Engineer,Västra Götaland,Göteborg,False,1,400,"Göteborgs Stad, Yrgo",MYH 2022/5322,2022
1227,Teknik och tillverkning,Elektronikingenjör inbyggda system,Västra Götaland,Göteborg,False,1,415,"Göteborgs Stad, Yrgo",MYH 2022/5233,2022
1228,Teknik och tillverkning,Elingenjör - elkonstruktör,Skåne,Hässleholm,False,1,400,"Hässleholms kommun, Yrkeshögskolan Syd",MYH 2022/5316,2022
1229,Teknik och tillverkning,"Elingenjör - Fastighet, industri och järnväg",Skåne,Helsingborg,False,1,410,YrkesAkademin YH AB,MYH 2022/4800,2022
1230,Teknik och tillverkning,Elkonstruktör,Västerbotten,Skellefteå,False,1,420,TUC Sweden AB - Yrkeshögskola,MYH 2022/5262,2022
1231,Teknik och tillverkning,Elkonstruktör,Östergötland,Linköping,False,1,420,TUC Sweden AB - Yrkeshögskola,MYH 2022/4598,2022
1232,Teknik och tillverkning,Elkraftingenjör,Jönköping,Jönköping,False,1,400,Tekniska Högskolan i Jönköping AB,MYH 2022/4993,2022
1233,Teknik och tillverkning,Elkraftsingenjör,Värmland,Karlstad,False,1,400,Plushögskolan AB - Teknikhögskolan,MYH 2022/4760,2022
1234,Teknik och tillverkning,Elkraftsingenjör - projektering och beredning,Skåne,Hässleholm,False,1,400,"Hässleholms kommun, Yrkeshögskolan Syd",MYH 2022/5305,2022
1235,Teknik och tillverkning,"Elkrafttekniker, inriktning hållbara elsystem",Västra Götaland,Trollhättan,False,1,400,Högskolan Väst,MYH 2022/5345,2022
1236,Teknik och tillverkning,E-mobility-ingenjör,Västra Götaland,Göteborg,False,1,400,Hermods AB Göteborg,MYH 2022/4521,2022
1237,Teknik och tillverkning,Energiingenjör,Flera kommuner,Flera kommuner,True,7,400,Företagsekonomiska Institutet 1888 AB,MYH 2022/5419,2022
1238,Teknik och tillverkning,Fibertekniker,Södermanland,Nyköping,False,1,215,Campus Nyköping,MYH 2022/4909,2022
1239,Teknik och tillverkning,Fibertekniker med inriktning mastteknik/mobilnät,Gävleborg,Hudiksvall,False,1,215,Edugrade AB,MYH 2022/5395,2022
1240,Teknik och tillverkning,Flygtekniker,Skåne,Klippan,False,1,420,"Klippans kommun, Flygteknikcenter",MYH 2022/4844,2022
1241,Teknik och tillverkning,Flygtekniker,Östergötland,Linköping,False,1,420,Linköpings kommun ,MYH 2022/4725,2022
1242,Teknik och tillverkning,Flygtekniker B1.1,Västmanland,Västerås,False,1,420,Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola,MYH 2022/4627,2022
1243,Teknik och tillverkning,Flygtekniker-helikopter,Norrbotten,Luleå,False,1,420,Nordiskt FlygTeknikCentrum Aktiebolag,MYH 2022/4537,2022
1244,Teknik och tillverkning,Förpackningsingenjör Packaging Solution Engineer - miljö och hållbarhet,Kronoberg,Älmhult,False,1,400,"Älmhults kommun, Haganässkolan",MYH 2022/5300,2022
1245,Teknik och tillverkning,Försäljningsingenjör El och automation,Flera kommuner,Flera kommuner,True,2,400,Lernia Utbildning AB,MYH 2022/4719,2022
1246,Teknik och tillverkning,Garment technical designer,Västra Götaland,Borås,False,1,400,Borås Stad - Yrkeshögskolan i Borås,MYH 2022/5134,2022
1247,Teknik och tillverkning,Hiss- och rulltrappstekniker,Stockholm,Botkyrka,False,1,225,Xenter Yrkeshögskola ,MYH 2022/5157,2022
1248,Teknik och tillverkning,Hydraulsystemtekniker,Västernorrland,Örnsköldsvik,False,1,315,"ITH, Institutet För Tillämpad Hydraulik",MYH 2022/4910,2022
1249,Teknik och tillverkning,Hydraultekniker,Västernorrland,Örnsköldsvik,False,1,150,"ITH, Institutet För Tillämpad Hydraulik",MYH 2022/4911,2022
1250,Teknik och tillverkning,Hållbar Produktionsutveckling Industri 4.0,Västernorrland,Örnsköldsvik,False,1,325,YrkesAkademin YH AB,MYH 2022/4516,2022
1251,Teknik och tillverkning,Hållbar Produktionsutveckling Industri 4.0,Flera kommuner,Flera kommuner,True,3,325,YrkesAkademin YH AB,MYH 2022/4514,2022
1252,Teknik och tillverkning,Industriell elektroniktekniker,Värmland,Karlstad,False,1,400,"Karlstads kommun, Yrkeshögskolan",MYH 2022/5148,2022
1253,Teknik och tillverkning,Instrumentingenjör,Flera kommuner,Flera kommuner,True,2,415,"Göteborgs Stad, Yrgo",MYH 2022/5473,2022
1254,Teknik och tillverkning,Internationell svetsspecialist,Västerbotten,Skellefteå,False,1,240,Lernia Utbildning AB,MYH 2022/4730,2022
1255,Teknik och tillverkning,Internationell vindkraftstekniker,Norrbotten,Piteå,False,1,300,Lernia Utbildning AB,MYH 2022/4668,2022
1256,Teknik och tillverkning,Internationell vindkraftstekniker,Västernorrland,Sundsvall,False,1,300,Lernia Utbildning AB,MYH 2022/5160,2022
1257,Teknik och tillverkning,IOT - projektör trådlösa nät,Skåne,Helsingborg,False,1,400,TUC Sweden AB - Yrkeshögskola,MYH 2022/5336,2022
1258,Teknik och tillverkning,Järnvägstekniker / Kvalificerad bantekniker,Norrbotten,Luleå,False,1,200,"Luleå kommun, Vuxenutbildningen",MYH 2022/4896,2022
1259,Teknik och tillverkning,Järnvägstekniker / Kvalificerad kontaktledningstekniker,Norrbotten,Luleå,False,1,200,"Luleå kommun, Vuxenutbildningen",MYH 2022/4901,2022
1260,Teknik och tillverkning,Järnvägstekniker / Kvalificerad signaltekniker,Norrbotten,Luleå,False,1,200,"Luleå kommun, Vuxenutbildningen",MYH 2022/4908,2022
1261,Teknik och tillverkning,Kvalificerad kontaktledningstekniker,Jönköping,Nässjö,False,1,260,"Nässjö kommun, Nässjöakademin",MYH 2022/5431,2022
1262,Teknik och tillverkning,Kyl- och värmepumpstekniker,Jämtland,Östersund,False,1,400,Hermods AB Östersund,MYH 2022/3962,2022
1263,Teknik och tillverkning,Laborant,Jämtland,Östersund,False,1,400,Hermods AB Östersund,MYH 2022/3953,2022
1264,Teknik och tillverkning,Laborant,Flera kommuner,Flera kommuner,True,3,400,Lidköpings kommun Campus Lidköping,MYH 2022/4482,2022
1265,Teknik och tillverkning,Laborant,Flera kommuner,Flera kommuner,True,2,400,YrkesAkademin YH AB,MYH 2022/5234,2022
1266,Teknik och tillverkning,Marin servicetekniker,Stockholm,Botkyrka,False,1,200,Xenter Yrkeshögskola ,MYH 2022/5145,2022
1267,Teknik och tillverkning,Marintekniker miljöoptimering,Västra Götaland,Göteborg,False,1,230,Sjösportskolan Swedish Maritime Academy AB,MYH 2022/5320,2022
1268,Teknik och tillverkning,Mejeritekniker,Västra Götaland,Götene,False,1,300,Lernia Utbildning AB,MYH 2022/4669,2022
1269,Teknik och tillverkning,Mekatronikingenjör - industriell konstruktion,Östergötland,Norrköping,False,1,510,AutoElec AB,MYH 2022/5087,2022
1270,Teknik och tillverkning,Mobilitetstekniker – Hållbara drivmedel,Västmanland,Västerås,False,1,300,YrkesAkademin YH AB,MYH 2022/4348,2022
1271,Teknik och tillverkning,Möbeltapetserare - Historiskt hantverk,Västernorrland,Kramfors,False,1,400,"Kramfors kommun, Yrkeshögskolan Höga kusten",MYH 2022/4745,2022
1272,Teknik och tillverkning,Mönsterkonstruktör,Stockholm,Stockholm,False,1,200,Stockholms Tillskärarakademi ,MYH 2022/5418,2022
1273,Teknik och tillverkning,Operativ Produktionstekniker,Flera kommuner,Flera kommuner,True,2,300,Lidköpings kommun Campus Lidköping,MYH 2022/4483,2022
1274,Teknik och tillverkning,Processoperatör Livsmedel,Örebro,Örebro,False,1,210,Plushögskolan AB - Teknikhögskolan,MYH 2022/4498,2022
1275,Teknik och tillverkning,Processoperatör livsmedel,Flera kommuner,Flera kommuner,True,2,210,Plushögskolan AB - Teknikhögskolan Syd,MYH 2022/4944,2022
1276,Teknik och tillverkning,Processoperatör och laborant,Värmland,Karlstad,False,1,400,"Karlstads kommun, Yrkeshögskolan",MYH 2022/5056,2022
1277,Teknik och tillverkning,Processtekniker smart industri,Flera kommuner,Flera kommuner,True,4,300,KYH AB,MYH 2022/4694,2022
1278,Teknik och tillverkning,Produktionslogistiker,Västerbotten,Skellefteå,False,1,445,TCC Sverige AB,MYH 2022/5351,2022
1279,Teknik och tillverkning,"Produktionsteknik – Trä, möbel och inredning",Jönköping,Nässjö,False,1,300,Tekniska Högskolan i Jönköping AB,MYH 2022/4999,2022
1280,Teknik och tillverkning,Produktionstekniker - CNC/3D,Gävleborg,Sandviken,False,1,400,"Sandvikens kommun, Yrkeshögskolan",MYH 2022/4951,2022
1281,Teknik och tillverkning,Produktionstekniker Automatiserade tillverkningsprocesser,Västerbotten,Skellefteå,False,1,400,Skellefteå kommun Vuxenutbildningen,MYH 2022/4824,2022
1282,Teknik och tillverkning,Produktionstekniker Digitalisering och datorstödd tillverkning,Västerbotten,Skellefteå,False,1,320,Skellefteå kommun Vuxenutbildningen,MYH 2022/4827,2022
1283,Teknik och tillverkning,Produktionstekniker för framtidens automatiserade industri,Flera kommuner,Flera kommuner,True,2,300,"Mariestads kommun, Dacapo Mariestad",MYH 2022/4954,2022
1284,Teknik och tillverkning,Produktionstekniker med 3D-teknik,Östergötland,Finspång,False,1,200,Östsvenska Yrkeshögskolan AB,MYH 2022/4631,2022
1285,Teknik och tillverkning,"Produktionstekniker, inriktning ständiga förbättringar/Lean production",Skåne,Eslöv,False,1,210,"Eslövs kommun, Yrkeshögskolan i Eslöv",MYH 2022/4732,2022
