Diarienummer,Beslut,Kommun
MYH 2024/1357,True,Luleå
MYH 2024/1357,True,Malmö
MYH 2024/1357,True,Stockholm
MYH 2024/1358,True,Stockholm
MYH 2024/1359,False,Karlskoga
MYH 2024/1360,True,Göteborg
MYH 2024/1361,True,Nyköping
MYH 2024/1362,False,Lidköping
MYH 2024/1363,False,Mölndal
MYH 2024/1364,True,Simrishamn
MYH 2024/1365,True,Strömsholm
MYH 2024/1366,True,Malmö
MYH 2024/1367,False,Piteå
MYH 2024/1367,False,Arvika
MYH 2024/1367,False,Göteborg
MYH 2024/1368,True,Malmö
MYH 2024/1368,True,Stockholm
MYH 2024/1368,True,Luleå
MYH 2024/1369,True,Göteborg
MYH 2024/1370,True,Stockholm
MYH 2024/1371,True,Göteborg
MYH 2024/1372,True,Nyköping
MYH 2024/1373,False,Tumba
MYH 2024/1374,True,Nyköping
MYH 2024/1375,True,Nyköping
MYH 2024/1376,True,Malmö
MYH 2024/1377,False,Lidköping
MYH 2024/1378,False,Linköping
MYH 2024/1379,True,Skövde
MYH 2024/1380,False,Tumba
MYH 2024/1381,False,Skövde
MYH 2024/1382,False,Stockholm
MYH 2024/1383,False,Sundsvall
MYH 2024/1385,True,Hudiksvall
MYH 2024/1386,False,Gävle
MYH 2024/1387,False,Gävle
MYH 2024/1388,False,Vänersborg
MYH 2024/1389,False,Stockholm
MYH 2024/1390,True,Malmö
MYH 2024/1391,False,Västerås
MYH 2024/1392,False,Göteborg
MYH 2024/1393,False,Härryda
MYH 2024/1393,False,Stockholm
MYH 2024/1393,False,Umeå
MYH 2024/1394,True,Båstad
MYH 2024/1395,False,Lund
MYH 2024/1395,False,Jönköping
MYH 2024/1396,False,Jönköping
MYH 2024/1396,False,Lund
MYH 2024/1397,False,Helsingborg
MYH 2024/1398,True,Norrköping
MYH 2024/1399,False,Göteborg
MYH 2024/1400,False,Stockholm
MYH 2024/1401,False,Stockholm
MYH 2024/1402,False,Vilhelmina
MYH 2024/1403,True,Norrköping
MYH 2024/1404,False,Stockholm
MYH 2024/1405,True,Stockholm
MYH 2024/1406,True,Stockholm
MYH 2024/1406,True,Sollefteå
MYH 2024/1407,True,Lidköping
MYH 2024/1408,True,Stockholm
MYH 2024/1409,True,Stockholm
MYH 2024/1410,True,Göteborg
MYH 2024/1410,True,Arvika
MYH 2024/1410,True,Piteå
MYH 2024/1411,True,Stockholm
MYH 2024/1412,True,Mölndal
MYH 2024/1413,False,Stockholm
MYH 2024/1414,False,Stockholm
MYH 2024/1415,False,Angered
MYH 2024/1416,False,Göteborg
MYH 2024/1417,True,Stockholm
MYH 2024/1418,False,Västerås
MYH 2024/1418,False,Malmö
MYH 2024/1418,False,Göteborg
MYH 2024/1418,False,Boden
MYH 2024/1418,False,Stockholm
MYH 2024/1419,False,Stockholm
MYH 2024/1420,True,Göteborg
MYH 2024/1421,False,Stockholm
MYH 2024/1422,False,Tumba
MYH 2024/1423,False,Stockholm
MYH 2024/1424,False,Stockholm
MYH 2024/1425,True,Stockholm
MYH 2024/1426,False,Lund
MYH 2024/1427,False,Stockholm
MYH 2024/1428,True,Uppsala
MYH 2024/1429,False,Lund
MYH 2024/1430,False,Göteborg
MYH 2024/1431,False,Borås
MYH 2024/1432,False,Malmö
MYH 2024/1432,False,Lund
MYH 2024/1433,False,Borås
MYH 2024/1434,True,Örnsköldsvik
MYH 2024/1435,True,Stockholm
MYH 2024/1436,True,Tumba
MYH 2024/1437,True,Stockholm
MYH 2024/1438,True,Stockholm
MYH 2024/1439,False,Malmö
MYH 2024/1440,False,Tumba
MYH 2024/1441,True,Stockholm
MYH 2024/1442,True,Sunne
MYH 2024/1443,True,Stockholm
MYH 2024/1444,True,Sunne
MYH 2024/1445,True,Sunne
MYH 2024/1446,False,Sunne
MYH 2024/1447,False,Gislaved
MYH 2024/1448,False,Tumba
MYH 2024/1449,False,Torsåker
MYH 2024/1450,False,Växjö
MYH 2024/1451,True,Växjö
MYH 2024/1452,True,Stockholm
MYH 2024/1453,True,Växjö
MYH 2024/1454,False,Göteborg
MYH 2024/1454,False,Växjö
MYH 2024/1454,False,Helsingborg
MYH 2024/1454,False,Eskilstuna
MYH 2024/1455,False,Tumba
MYH 2024/1456,False,Stockholm
MYH 2024/1457,False,Stockholm
MYH 2024/1458,False,Lund
MYH 2024/1458,False,Göteborg
MYH 2024/1458,False,Linköping
MYH 2024/1458,False,Stockholm
MYH 2024/1460,False,Tumba
MYH 2024/1461,True,Stockholm
MYH 2024/1462,True,Växjö
MYH 2024/1463,False,Ljungbyhed
MYH 2024/1464,False,Växjö
MYH 2024/1465,False,Arboga
MYH 2024/1466,True,Stockholm
MYH 2024/1467,False,Arboga
MYH 2024/1468,True,Stockholm
MYH 2024/1469,False,Arboga
MYH 2024/1470,True,Stockholm
MYH 2024/1471,False,Skövde
MYH 2024/1472,True,Göteborg
MYH 2024/1473,True,Malmö
MYH 2024/1474,False,Haninge
MYH 2024/1474,False,Östersund
MYH 2024/1474,False,Krokom
MYH 2024/1475,True,Göteborg
MYH 2024/1475,True,Värnamo
MYH 2024/1476,False,Lund
MYH 2024/1476,False,Stockholm
MYH 2024/1476,False,Eskilstuna
MYH 2024/1476,False,Göteborg
MYH 2024/1476,False,Växjö
MYH 2024/1477,True,Göteborg
MYH 2024/1478,True,Stockholm
MYH 2024/1479,False,Göteborg
MYH 2024/1480,True,Lund
MYH 2024/1481,True,Göteborg
MYH 2024/1482,True,Göteborg
MYH 2024/1482,True,Stockholm
MYH 2024/1483,True,Göteborg
MYH 2024/1484,True,Leksand
MYH 2024/1484,True,Solna
MYH 2024/1485,False,Göteborg
MYH 2024/1487,False,Bromma
MYH 2024/1488,True,Stockholm
MYH 2024/1489,True,Stockholm
MYH 2024/1490,True,Stockholm
MYH 2024/1491,True,Göteborg
MYH 2024/1492,True,Göteborg
MYH 2024/1493,True,Göteborg
MYH 2024/1494,False,Stockholm
MYH 2024/1494,False,Göteborg
MYH 2024/1494,False,Malmö
MYH 2024/1494,False,Luleå
MYH 2024/1494,False,Umeå
MYH 2024/1495,True,Stockholm
MYH 2024/1496,False,Botkyrka
MYH 2024/1497,True,Stockholm
MYH 2024/1498,True,Stockholm
MYH 2024/1499,True,Sundsvall
MYH 2024/1500,True,Ljungby
MYH 2024/1501,False,Gävle
MYH 2024/1502,True,Stockholm
MYH 2024/1503,False,Värnamo
MYH 2024/1503,False,Göteborg
MYH 2024/1504,True,Stockholm
MYH 2024/1505,False,Uppsala
MYH 2024/1506,False,Ljungby
MYH 2024/1507,False,Gävle
MYH 2024/1508,True,Malmö
MYH 2024/1508,True,Stockholm
MYH 2024/1508,True,Örebro
MYH 2024/1509,True,Göteborg
MYH 2024/1510,True,Bromma
MYH 2024/1511,True,Lund
MYH 2024/1512,False,Göteborg
MYH 2024/1513,False,Göteborg
MYH 2024/1514,False,Göteborg
MYH 2024/1515,False,Stockholm
MYH 2024/1516,True,Stockholm
MYH 2024/1517,False,Stockholm
MYH 2024/1518,False,Stockholm
MYH 2024/1519,False,Stockholm
MYH 2024/1520,False,Borås
MYH 2024/1521,True,Borås
MYH 2024/1522,True,Borås
MYH 2024/1523,True,Borås
MYH 2024/1524,True,Borås
MYH 2024/1525,True,Borås
MYH 2024/1526,True,Stockholm
MYH 2024/1527,True,Globen
MYH 2024/1528,False,Globen
MYH 2024/1529,True,Stockholm
MYH 2024/1530,False,Globen
MYH 2024/1531,False,Globen
MYH 2024/1532,True,Stockholm
MYH 2024/1533,False,Globen
MYH 2024/1534,True,Göteborg
MYH 2024/1535,False,Filipstad
MYH 2024/1536,False,Filipstad
MYH 2024/1537,False,Filipstad
MYH 2024/1538,False,Filipstad
MYH 2024/1539,False,Filipstad
MYH 2024/1540,False,Falkenberg
MYH 2024/1541,False,Stockholm
MYH 2024/1542,True,Malmö
MYH 2024/1543,False,Boden
MYH 2024/1543,False,Göteborg
MYH 2024/1544,True,Göteborg
MYH 2024/1545,False,Malmö
MYH 2024/1546,True,Göteborg
MYH 2024/1547,False,Borås
MYH 2024/1548,True,Stockholm
MYH 2024/1549,True,Göteborg
MYH 2024/1549,True,Piteå
MYH 2024/1550,False,Örebro
MYH 2024/1551,True,Globen
MYH 2024/1552,True,Göteborg
MYH 2024/1553,True,Nyköping
MYH 2024/1554,True,Göteborg
MYH 2024/1555,True,Borås
MYH 2024/1556,True,Göteborg
MYH 2024/1557,True,Borås
MYH 2024/1558,False,Göteborg
MYH 2024/1559,False,Göteborg
MYH 2024/1560,True,Göteborg
MYH 2024/1561,False,Göteborg
MYH 2024/1562,False,Göteborg
MYH 2024/1563,False,Göteborg
MYH 2024/1564,True,Göteborg
MYH 2024/1565,True,Göteborg
MYH 2024/1566,True,Globen
MYH 2024/1567,True,Göteborg
MYH 2024/1567,True,Stockholm
MYH 2024/1568,True,Malmö
MYH 2024/1568,True,Göteborg
MYH 2024/1569,True,Malmö
MYH 2024/1570,True,Malmö
MYH 2024/1571,True,Stockholm
MYH 2024/1572,False,Stockholm
MYH 2024/1573,True,Malmö
MYH 2024/1574,False,Örebro
MYH 2024/1575,False,Borås
MYH 2024/1576,True,Örebro
MYH 2024/1577,True,Malmö
MYH 2024/1578,True,Göteborg
MYH 2024/1579,False,Malmö
MYH 2024/1580,False,Västerås
MYH 2024/1580,False,Gävle
MYH 2024/1580,False,Jönköping
MYH 2024/1580,False,Örebro
MYH 2024/1581,False,Stockholm
MYH 2024/1582,True,Gävle
MYH 2024/1582,True,Västerås
MYH 2024/1582,True,Jönköping
MYH 2024/1582,True,Örebro
MYH 2024/1583,False,Stockholm
MYH 2024/1584,True,Växjö
MYH 2024/1585,False,Gävle
MYH 2024/1585,False,Örebro
MYH 2024/1586,False,Stockholm
MYH 2024/1587,False,Stockholm
